Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda
2020-06-29,-3.7380298824112774,0.6094151787391541,0.3939380364335249,2.439291319923039,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-07-06,-3.7380298824112774,0.8692204368674912,0.3939380364335249,2.439291319923039,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-07-13,-3.7380298824112774,0.34960992061081936,0.3939380364335249,2.439291319923039,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-07-20,-3.7380298824112774,0.34960992061081936,0.3939380364335249,3.2525169591449306,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-07-27,-3.709738122364961,0.8692204368674912,0.3939380364335249,3.5235921722188936,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-08-03,-2.133302286041145,0.8692204368674912,0.3939380364335249,2.9814417460709675,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-08-10,-2.133302286041145,0.34960992061081936,0.3939380364335249,2.9814417460709675,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-08-17,-2.133302286041145,0.6094151787391541,0.3939380364335249,3.5235921722188936,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-08-24,-2.133302286041145,0.08980466248248227,0.3939380364335249,2.9814417460709675,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-08-31,-1.4205554037569812,0.34960992061081936,0.3939380364335249,3.2525169591449306,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-09-07,-1.4205554037569812,-0.1700005956458525,0.3939380364335249,3.7946673852928594,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-09-14,-1.4205554037569812,0.08980466248248227,0.3939380364335249,2.9814417460709675,0.0,0.38540274271231867,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-09-21,-1.4205554037569812,0.8692204368674912,0.3939380364335249,2.9814417460709675,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-09-28,-0.4888239765333102,-0.42980585377418723,0.3939380364335249,3.2525169591449306,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-10-05,-0.4888239765333102,0.08980466248248227,0.3939380364335249,2.9814417460709675,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-10-12,-0.4888239765333102,-0.6896111119025243,0.3939380364335249,2.710366532997002,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-10-19,-0.4888239765333102,-0.6896111119025243,0.3939380364335249,2.1682161068490733,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-10-26,-0.472070196841078,-0.9494163700308591,0.3939380364335249,2.1682161068490733,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-11-02,-0.2768728579740324,-0.42980585377418723,0.3939380364335249,2.1682161068490733,0.0,0.11005911656723781,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-11-09,-0.2768728579740324,0.34960992061081936,0.3939380364335249,2.1682161068490733,0.0,0.11005911656723781,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-11-16,-0.2768728579740324,0.34960992061081936,0.3939380364335249,1.3549904676271816,0.0,-0.7159717618680072,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-11-23,-0.2768728579740324,-0.1700005956458525,0.3939380364335249,1.0839152545532185,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
